source,count,message_shape
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_roma': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'barony'X'b_vaticano': barony, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_cologne': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_santiago': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_kent': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'barony'X'b_canterbury': barony, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_byzantion': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_alexandria': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_antiocheia': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_tigre': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_meroe': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_suenik': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_dvin': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
