folder,files,files_with_map_refs,title_scope,title_bare,province,character,dynasty,geo_region,culture,faith,map_refs,ATL_replace_path,ATL_shadows,ATL_stubs,EK2_replace_path,EK2_shadows,EK2_stubs,GH_replace_path,GH_shadows,GH_stubs
events/dlc/ep3,35,20,355,143,45,34,0,227,131,193,804,0,19,0,0,23,3,0,23,6
events/dlc/fp1,10,4,14,0,0,23,0,16,18,38,53,0,2,0,0,8,1,0,7,5
events/dlc/fp2,6,6,68,0,0,3,2,42,70,145,115,0,5,0,0,6,1,0,6,3
events/dlc/fp3,20,9,50,0,0,12,1,50,14,100,113,0,4,0,0,16,7,0,18,6
events/dlc/mpo,17,6,0,2,0,14,2,29,17,37,47,0,2,0,0,7,1,0,10,2
events/dlc/tgp,37,16,84,1,0,0,0,34,16,52,119,0,0,0,0,23,0,0,18,3
events/education_and_childhood,7,2,8,0,0,0,0,2,0,3,10,0,0,0,0,5,0,0,4,0
events/factions,2,1,173,0,0,0,0,0,0,1,173,0,0,0,0,1,0,0,1,0
events/government_events,2,1,0,0,0,0,0,7,0,5,7,0,0,0,0,1,0,0,2,0
events/interaction_events,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
events/legacy_events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
events/lifestyles,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0
events/lifestyles/governance_lifestyle,4,1,0,0,0,0,0,1,3,10,1,0,0,0,0,4,0,0,4,0
events/lifestyles/intrigue_lifestyle,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0
events/lifestyles/scholarship_lifestyle,3,1,0,0,0,0,0,13,9,25,13,0,0,0,0,3,0,0,3,0
events/lifestyles/statecraft_lifestyle,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0
events/lifestyles/wanderer_lifestyle,4,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0
events/lifestyles/warfare_lifestyle,8,5,0,2,0,0,0,32,0,31,34,0,0,0,0,8,0,0,7,0
events/nickname_events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
events/notification_events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/prison_events,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
events/relations_events,11,1,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,4,0
events/religion_events,13,7,62,0,0,0,0,23,0,193,85,0,1,0,0,12,0,0,13,2
events/scheme_events,12,5,9,1,0,0,0,26,0,2,36,0,2,0,0,6,0,0,5,0
events/scheme_events/adbuct_scheme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events/scheme_events/befriend_scheme,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,2,0
events/scheme_events/claim_throne_scheme,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
