path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
terrain/gen_central_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_transition_diffuse copy.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_transition_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_transition_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_central_mountain_transition_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_coastal_cliff_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
