stage,level,count
now,8289,4085
now,8290,4024
now,8291,4018
now,8292,4019
now,8293,3942
now,8294,3925
now,8295,3991
now,8296,4031
now,8297,4021
now,8298,4041
now,8299,4069
now,8300,4026
now,8301,4042
now,8302,4069
now,8303,3963
now,8304,3985
now,8305,3965
now,8306,4106
now,8307,4061
now,8308,3949
now,8309,3944
now,8310,3876
now,8311,4081
now,8312,4068
now,8313,4050
now,8314,4037
now,8315,4055
now,8316,4135
now,8317,3889
now,8318,3944
now,8319,3960
now,8320,3953
now,8321,3967
now,8322,4033
now,8323,3971
now,8324,3997
now,8325,3929
now,8326,3970
now,8327,4041
now,8328,3936
now,8329,3953
now,8330,4008
now,8331,4082
now,8332,3983
now,8333,4032
now,8334,3932
now,8335,3938
now,8336,3983
now,8337,3935
now,8338,3812
now,8339,4074
now,8340,4158
now,8341,4002
now,8342,3967
now,8343,3932
now,8344,3933
now,8345,3907
now,8346,3885
now,8347,4061
now,8348,3985
now,8349,3898
now,8350,4030
now,8351,4042
now,8352,3884
now,8353,3897
now,8354,3886
now,8355,3939
now,8356,3986
now,8357,3989
now,8358,3813
now,8359,3847
now,8360,3896
now,8361,3853
now,8362,3867
now,8363,3912
now,8364,3831
now,8365,3827
now,8366,3933
now,8367,3930
now,8368,3982
now,8369,3956
now,8370,3872
now,8371,3877
now,8372,4018
now,8373,3777
now,8374,3973
now,8375,3932
now,8376,4093
now,8377,3810
now,8378,3970
now,8379,3846
now,8380,3908
now,8381,3870
now,8382,3907
now,8383,3809
now,8384,3894
now,8385,3878
now,8386,3911
now,8387,3843
now,8388,3831
now,8389,3860
now,8390,3949
now,8391,3939
now,8392,3865
now,8393,3855
now,8394,3920
now,8395,3953
now,8396,3934
now,8397,3870
now,8398,3994
now,8399,3941
now,8400,3857
now,8401,3914
now,8402,3912
now,8403,3816
now,8404,3955
now,8405,3867
now,8406,3861
now,8407,3884
now,8408,3897
now,8409,3888
now,8410,3858
now,8411,3962
now,8412,3866
now,8413,3897
now,8414,3924
now,8415,3838
now,8416,3780
now,8417,3901
now,8418,3881
now,8419,3971
now,8420,3860
now,8421,3931
now,8422,3870
now,8423,3839
now,8424,3831
now,8425,3858
now,8426,3784
now,8427,3833
now,8428,3852
now,8429,3938
now,8430,3941
now,8431,3845
now,8432,3798
now,8433,3899
now,8434,3845
now,8435,3754
now,8436,3808
now,8437,3884
now,8438,3867
now,8439,3908
now,8440,3869
now,8441,3935
now,8442,3834
now,8443,3757
now,8444,3832
now,8445,3804
now,8446,3944
now,8447,3840
now,8448,3784
now,8449,3798
now,8450,3838
now,8451,3734
now,8452,3910
now,8453,3805
now,8454,3838
now,8455,3846
now,8456,3833
now,8457,3887
now,8458,3741
now,8459,3891
now,8460,3863
now,8461,4012
now,8462,3745
now,8463,3746
now,8464,3844
now,8465,3795
now,8466,3722
now,8467,3783
now,8468,3812
now,8469,3805
now,8470,3881
now,8471,3785
now,8472,3972
now,8473,3861
now,8474,3847
now,8475,3733
now,8476,3842
now,8477,3832
now,8478,3859
now,8479,3791
now,8480,3768
now,8481,3774
now,8482,3739
now,8483,3896
now,8484,3717
now,8485,3817
now,8486,3861
now,8487,3731
now,8488,3834
now,8489,3722
now,8490,3729
now,8491,3786
now,8492,3734
now,8493,3761
now,8494,3818
now,8495,3755
now,8496,3687
now,8497,3805
now,8498,3849
now,8499,3800
now,8500,3809
now,8501,3741
now,8502,3780
now,8503,3709
now,8504,3707
now,8505,3660
now,8506,3646
now,8507,3762
now,8508,3782
now,8509,3704
now,8510,3722
now,8511,3877
now,8512,3713
now,8513,3757
now,8514,3734
now,8515,3715
now,8516,3789
now,8517,3716
now,8518,3658
now,8519,3893
